the,ðә
happen,"'hæpәn"
next,"'nekst"
without,"wi'ðaut"
before,"bi'fɒ:"
large,lɑ:dʒ
million,"'miljәn"
must,mʌst
home,hәum
under,"'ʌndә"
water,"'wɒ:tә"
room,ru:m
write,rait
mother,"'mʌðә"
area,"'єәriә"
national,"'næʃәnәl"
money,"'mʌni"
story,"'stɒ:ri"
young,jʌŋ
fact,fækt
month,mʌnθ
different,"'difәrәnt"
lot,lɒt
study,"'stʌdi"
book,buk
eye,ai
job,dʒɒb
word,wә:d
though,ðәu
business,"'biznis"
four,fɒ:
issue,"'isju"
side,said
kind,kaind
head,hed
far,fɑ:
black,blæk
long,lɒŋ
both,bәuθ
little,"'litl"
house,haus
yes,jes
since,sins
provide,"prә'vaid"
service,"'sә:vis"
around,"ә'raund"
friend,frend
important,"im'pɒ:tәnt"
father,"'fɑ:ðә"
sit,sit
away,"ә'wei"
until,"әn'til"
power,"'pauә"
hour,auә
game,geim
often,"'ɒ:fn"
yet,jet
line,lain
political,"pә'litikl"
end,end
among,"ә'mʌŋ"
ever,"'evә"
stand,stænd
bad,bæd
lose,lu:z
however,"hau'evә"
member,"'membә"
pay,pei
law,lɒ:
meet,mi:t
car,kɑ:
city,"'siti"
almost,"'ɒ:lmәust"
include,"in'klu:d"
continue,"kәn'tinju:"
set,set
later,"'leitә"
community,"kә'mju:niti"
name,neim
five,faiv
once,wʌns
white,hwait
least,li:st
president,"'prezidәnt"
learn,lә:n
real,"'riәl"
change,tʃeindʒ
team,ti:m
minute,"'minit. mai'nju:t"
best,best
several,"'sevәrәl"
idea,"ai'diә"
kid,kid
body,"'bɒdi"
information,".infә'meiʃәn"
nothing,"'nʌθiŋ"
ago,"ә'gәu"
lead,li:d. led
social,"'sәuʃәl"
understand,".ʌndә'stænd"
whether,"'hweðә"
watch,wɒtʃ
together,"tә'geðә"
follow,"'fɒlәu"
parent,"'perәnt"
stop,stɒp
face,feis
anything,"'eniθiŋ"
create,"kri:'eit"
public,"'pʌblik"
already,"ɒ:l'redi"
speak,spi:k
read,ri:d
level,"'levl"
allow,"ә'lau"
add,æd
office,"'ɒfis"
spend,spend
door,dɒ:
health,"'helθ"
person,"'pә:sn"
art,ɑ:t
sure,ʃuә
war,wɒ:
history,"'histәri"
party,"'pɑ:ti"
within,"wi'ðin"
grow,grәu
result,"ri'zʌlt"
open,"'әupәn"
morning,"'mɒ:niŋ"
walk,wɒ:k
reason,"'ri:zn"
low,lәu
win,win
research,"ri'sә:tʃ"
girl,gә:l
guy,gai
early,"'ә:li"
food,fu:d
himself,"him'self"
moment,"'mәumәnt"
air,єә
teacher,"'ti:tʃә"
force,fɒ:s
offer,"'ɒfә"
enough,"i'nʌf"
education,".edju'keiʃәn"
across,"ә'krɒs"
although,"ɒ:l'ðou"
remember,"ri'membә"
foot,fut
second,"'sekәnd"
boy,bɒi
maybe,"'meibi:"
toward,"tә'wɒ:d"
able,"'eibl"
age,eidʒ
policy,"'pɒlisi"
everything,"'evriθiŋ"
love,lʌv
process,"'prɒses"
music,"'mju:zik"
consider,"kәn'sidŋ"
appear,"ә'piә"
actually,"'æktʃuәli"
buy,bai
probably,"'prɒbәbli"
human,"'hju:mәn"
wait,weit
serve,sә:v
market,"'mɑ:kit"
die,dai
send,send
expect,"iks'pekt"
sense,sens
build,bild
stay,stei
fall,fɒ:l
oh,әu
nation,"'neiʃәn"
plan,plæn
cut,kʌt
college,"'kɒlidʒ"
interest,"'intrist"
death,deθ
course,kɒ:s
someone,"'sʌmwʌn"
experience,"ik'spiәriәns"
behind,"bi'haind"
reach,ri:tʃ
local,"'lәukәl"
six,siks
kill,kil
remain,"ri'mein"
effect,"i'fekt"
yeah,jɑ:
suggest,"sәg'dʒest"
class,klɑ:s
control,"kәn'trәul"
raise,reiz
care,kєә
perhaps,"pә'hæps"
late,leit
hard,hɑ:d
field,fi:ld
else,els
pass,pæs
former,"'fɒ:mә"
sell,sel
major,"'meidʒә"
sometimes,"'sʌmtaimz"
require,"ri'kwaiә"
along,"ә'lɒŋ"
development,"di'velәpmәnt"
themselves,"ðәm'selvz"
report,"ri'pɒ:t"
role,rәul
better,"'betә"
economic,".i:kә'nɒmik"
effort,"'efәt"
decide,"di'said"
rate,reit
strong,strɒŋ
possible,"'pɒsәbl"
heart,hɑ:t
drug,drʌg
leader,"'li:dә"
light,lait
voice,vɒis
wife,waif
whole,hәul
police,"pә'li:s"
mind,maind
finally,"'fainәli"
pull,pul
return,"ri'tә:n"
free,fri:
military,"'militәri"
price,prais
less,les
according,"ә'kɒ:diŋ"
decision,"di'siʒәn"
explain,"ik'splein"
son,sʌn
hope,hәup
develop,"di'velәp"
view,vju:
relationship,"ri'leiʃәnʃip"
carry,"'kæri"
town,taun
road,rәud
drive,draiv
arm,ɑ:m
true,tru:
federal,"'fedәrәl"
break,breik
difference,"'difәrәns"
receive,"ri'si:v"
thank,θæŋk
value,"'vælju:"
international,".intә'næʃәnәl"
building,"'bildiŋ"
action,"'ækʃәn"
full,ful
model,"'mɒdәl"
join,dʒɒin
season,"'si:zn"
society,"sә'saiәti"
tax,tæks
director,"di'rektә"
position,"pә'ziʃәn"
player,"'pleiә"
agree,"ә'gri:"
especially,"i'speʃәli"
record,"ri'kɒ:d"
pick,pik
wear,wєә
paper,"'peipә"
special,"'speʃәl"
space,speis
ground,graund
form,fɒ:m
support,"sә'pɒ:t"
event,"i'vent"
official,"ә'fiʃәl"
whose,hu:z
matter,"'mætә"
everyone,"'evriwʌn"
center,"'sentә"
couple,"'kʌpl"
site,sait
project,"'prɒdʒekt"
hit,hit
base,beis
activity,"æk'tiviti"
star,stɑ:
table,"'teibl"
court,kɒ:t
produce,"prә'dju:s"
eat,i:t
teach,ti:tʃ
oil,ɒil
half,hɑ:f
situation,".sitju'eiʃәn"
easy,"'i:zi"
cost,kɒst
industry,"'indәstri"
figure,"'figә"
street,stri:t
image,"'imidʒ"
itself,"it'self"
phone,fәun
either,"'i:ðә"
data,"'deitә"
cover,"'kʌvә"
quite,kwait
picture,"'piktʃә"
clear,kliә
practice,"'præktis"
piece,pi:s
land,lænd
recent,"'ri:snt"
describe,"di'skraib"
product,"'prɒdʌkt"
doctor,"'dɒktә"
wall,wɒ:l
patient,"'peiʃәnt"
worker,"'wә:kә"
news,nju:z
test,test
movie,"'mu:vi"
certain,"'sә:tәn"
north,nɒ:θ
personal,"'pә:snl"
simply,"'simpli"
third,θә:d
technology,"tek'nɒlәdʒi"
catch,kætʃ
step,step
baby,"'beibi"
computer,"kәm'pju:tә"
type,taip
attention,"ә'tenʃәn"
draw,drɒ:
film,film
republican,"ri'pʌblikәn"
organization,".ɒ:gәnai'zeiʃәn"
tree,tri:
source,sɒ:s
red,red
nearly,"'niәli"
choose,tʃu:z
cause,kɒ:z
hair,hєә
century,"'sentʃuri"
evidence,"'evidәns"
window,"'windәu"
difficult,"'difikәlt"
listen,"'lisn"
soon,su:n
culture,"'kʌltʃә"
billion,"'biljәn"
chance,tʃæns. tʃɑ:ns
brother,"'brʌðә"
energy,"'enәdʒi"
realize,"'riәlaiz"
period,"'piәriәd"
summer,"'sʌmә"
hundred,"'hʌndrәd"
available,"ә'veilәbl"
plant,plænt. plɑ:nt
likely,"'laikli"
opportunity,".ɒpә'tju:niti"
term,tә:m
short,ʃɒ:t
letter,"'letә"
condition,"kәn'diʃәn"
choice,tʃɒis
single,"'siŋgl"
rule,ru:l
daughter,"'dɒ:tә"
administration,"әd.mini'streiʃәn"
south,sauθ
husband,"'hʌzbәnd"
congress,"'kɒŋgres"
floor,flɒ:
campaign,"kæm'pein"
material,"mә'tiәriәl"
population,".pɒpju'leiʃәn"
economy,"i'kɒnәmi"
medical,"'medikl"
hospital,"'hɒspitәl"
church,tʃә:tʃ
close,klәuz
risk,risk
thousand,"'θauznd"
current,"'kʌrәnt"
fire,"'faiә"
future,"'fju:tʃә"
wrong,rɒŋ
involve,"in'vɒlv"
defense,"di'fens"
behavior,"bi'heivjә"
anyone,"'eniwʌn"
increase,"in'kri:s"
security,"si'kjuriti"
myself,"mai'self"
bank,bæŋk
certainly,"'sә:tәnli"
west,west
sport,spɒ:t
board,bɒ:d
seek,si:k
per,pә:
subject,"'sʌbdʒekt"
officer,"'ɒfisә"
private,"'praivit"
rest,rest
deal,di:l
performance,"pә'fɒ:mәns"
fight,fait
throw,θrәu
top,tɒp
quickly,"'kwikli"
past,pɑ:st
goal,gәul
bed,bed
order,"'ɒ:dә"
author,"'ɒ:θә"
fill,fil
represent,".repri'zent"
focus,"'fәukәs"
foreign,"'fɒ:rin"
drop,drɒp
blood,blʌd
upon,"ә'pɒn"
agency,"'eidʒәnsi"
push,puʃ
nature,"'neitʃә"
color,"'kʌlә"
recently,"'ri:sntli"
store,stɒ:
reduce,"ri'dju:s"
sound,saund
note,nәut
fine,fain
near,niә
movement,"'mu:vmәnt"
page,peidʒ
enter,"'entә"
common,"'kɒmәn"
share,ʃєә
poor,puә. pɒ:
natural,"'nætʃәrәl"
race,reis
concern,"kәn'sә:n"
series,"'siәri:z"
significant,"sig'nifikәnt"
similar,"'similә"
hot,hɒt
language,"'læŋgwidʒ"
usually,"'ju:ʒuәli"
response,"ri'spɒns"
dead,ded
rise,raiz
animal,"'ænimәl"
factor,"'fæktә"
decade,"'dekeid"
tv,"'ti:'vi:"
article,"'ɑ:tikl"
shoot,ʃu:t
east,i:st
seven,"'sevn"
save,seiv
artist,"'ɑ:tist"
scene,si:n
eight,eit
stock,stɒk
career,"kә'riә"
despite,"di'spait"
central,"'sentrәl"
thus,ðʌs
treatment,"'tri:tmәnt"
beyond,"bi'jɒnd"
happy,"'hæpi"
exactly,"i^'zæktli"
protect,"prә'tekt"
approach,"ә'prәutʃ"
lie,lai
size,saiz
dog,dɒg
fund,fʌnd
serious,"'siәriәs"
occur,"ә'kә:"
media,"'mi:diә"
ready,"'redi"
sign,sain
thought,θɒ:t
list,list
individual,".indi'vidʒuәl"
simple,"'simpl"
quality,"'kwɒlәti"
pressure,"'preʃә"
accept,"әk'sept"
answer,"'ɑ:nsә"
resource,"ri'sɒ:s"
identify,"ai'dentifai"
left,left
meeting,"'mi:tiŋ"
determine,"di'tә:min"
prepare,"pri'pєә"
disease,"di'zi:z"
whatever,"hwɒt'evә"
success,"sәk'ses"
argue,"'ɑ:gju"
recognize,"'rekәgnaiz"
cup,kʌp
particularly,"pә'tikjjlәli"
amount,"ә'maunt"
ability,"ә'biliti"
staff,stɑ:f
indicate,"'indikeit"
character,"'kærәktә"
growth,grәuθ
loss,lɒs
degree,"di'gri:"
wonder,"'wʌndә"
attack,"ә'tæk"
herself,"hә:'self"
region,"'ri:dʒәn"
television,"'teli.viʒәn"
box,bɒks
training,"'treiniŋ"
pretty,"'priti"
everybody,"'evribɒdi"
trade,treid
election,"i'lekʃәn"
physical,"'fizikl"
lay,lei
general,"'dʒenәrәl"
feeling,"'fi:liŋ"
standard,"'stændәd"
message,"'mesidʒ"
fail,feil
outside,"'aut'said"
arrive,"ә'raiv"
analysis,"ә'nælәsis"
benefit,"'benifit"
sex,seks
forward,"'fɒ:wәd"
lawyer,"'lɒ:jә"
present,"'preznt"
section,"'sekʃәn"
environmental,"in.vaiәrәn'mentәl"
glass,glɑ:s
skill,"'skil"
sister,"'sistә"
professor,"prә'fesә"
operation,".ɒpә'reiʃәn"
financial,"fai'nænʃәl"
crime,kraim
stage,steidʒ
ok,"'әu'kei"
compare,"kәm'pєә"
authority,"ɒ:'θɒriti"
miss,mis
design,"di'zain"
sort,sɒ:t
act,ækt
ten,ten
knowledge,"'nɒlidʒ"
gun,gʌn
station,"'steiʃәn"
blue,blu:
strategy,"'strætidʒi"
clearly,"'kliәli"
discuss,"dis'kʌs"
indeed,"in'di:d"
truth,tru:θ
song,sɒŋ
example,"ig'zæmpl"
democratic,".demә'krætik"
check,tʃek
environment,"in'vairәnmәnt"
leg,leg
dark,dɑ:k
various,"'vєәriәs"
rather,"'ræðә"
laugh,lɑ:f
guess,ges
executive,"ig'zekjutiv"
prove,pru:v
hang,hæŋ
entire,"in'taiә"
rock,rɒk
forget,"fә'get"
claim,kleim
remove,"ri'mu:v"
manager,"'mænidʒә"
enjoy,"in'dʒɒi"
network,"'netwә:k"
legal,"'li:gәl"
religious,"ri'lidʒәs"
cold,kәuld
final,"'fainl"
main,mein
science,"'saiәns"
green,gri:n
memory,"'memәri"
card,kɑ:d
above,"ә'bʌv"
seat,si:t
cell,sel
establish,"i'stæbliʃ"
nice,nais
trial,"'traiәl"
expert,"'ekspә:t"
spring,spriŋ
firm,fә:m
democrat,"'demәkræt"
radio,"'reidiәu"
visit,"'vizit"
management,"'mænidʒmәnt"
avoid,"ә'vɒid"
imagine,"i'mædʒin"
tonight,"tә'nait"
huge,hju:dʒ
ball,bɒ:l
yourself,"juә'self"
finish,"'finiʃ"
theory,"'θiәri"
impact,"'impækt"
respond,"ri'spɒnd"
statement,"'steitmәnt"
maintain,"mein'tein"
charge,tʃɑ:dʒ
popular,"'pɒpjulә"
traditional,"trә'diʃәnl"
onto,"'ɒntu:"
reveal,"ri'vi:l"
direction,"di'rekʃәn"
weapon,"'wepәn"
employee,".emplɒi'i:"
contain,"kәn'tein"
cultural,"'kʌltʃәrәl"
mrs,"'misiz"
peace,pi:s
pain,pein
apply,"ә'plai"
wide,waid
measure,"'meʒә"
shake,ʃeik
fly,flai
interview,"'intәvju:"
manage,"'mænidʒ"
chair,tʃєә
fish,fiʃ
particular,"pә'tikjulә"
camera,"'kæmәrә"
structure,"'strʌktʃә"
politics,"'pɒlitiks"
bit,bit
perform,"pә'fɒ:m"
weight,weit
suddenly,"'sʌdәnli"
discover,"dis'kʌvә"
candidate,"'kændideit"
production,"prә'dʌkʃәn"
treat,tri:t
evening,"'i:vniŋ"
trip,trip
affect,"ә'fekt"
inside,"'in'said"
conference,"'kɒnfәrәns"
unit,"'ju:nit"
style,stail
adult,"'ædʌlt"
worry,"'wʌri"
mention,"'menʃәn"
range,"'reindʒ"
deep,di:p
edge,edʒ
specific,"spi'sifik"
writer,"'raitә"
trouble,"'trʌbl"
necessary,"'nesisәri"
throughout,"θru:'aut"
challenge,"'tʃælindʒ"
fear,fiә
shoulder,"'ʃәuldә"
institution,".insti'tju:ʃәn"
middle,"'midl"
sea,si:
dream,dri:m
bar,bɑ:
beautiful,"'bju:tiful"
property,"'prɒpәti"
instead,"in'sted"
improve,"im'pru:v"
stuff,stʌf
detail,"'di:teil"
method,"'meθәd"
somebody,"'sʌmbɒdi"
magazine,".mægә'zi:n"
hotel,"hәu'tel"
soldier,"'sәuldʒә"
reflect,"ri'flekt"
heavy,"'hevi"
sexual,"'sekʃuәl"
bag,bæg
heat,hi:t
marriage,"'mæridʒ"
tough,tʌf
sing,siŋ
purpose,"'pә:pәs"
surface,"'sә:fis"
exist,"ig'zist"
pattern,"'pætәn"
whom,hu:m
skin,skin
agent,"'eidʒәnt"
owner,"'әunә"
machine,"mә'ʃi:n"
gas,gæs
ahead,"ә'hed"
generation,".dʒenә'reiʃәn"
commercial,"kә'mә:ʃәl"
address,"ә'dres"
cancer,"'kænsә"
item,"'aitәm"
reality,"ri'æliti"
coach,kәutʃ
yard,jɑ:d
beat,bi:t
violence,"'vaiәlәns"
total,"'tәutl"
tend,tend
investment,"in'vestmәnt"
discussion,"dis'kʌʃәn"
finger,"'fiŋgә"
garden,"'gɑ:dn"
notice,"'nәutis"
collection,"kә'lekʃәn"
modern,"'mɒdәn"
task,tɑ:sk
partner,"'pɑ:tnә"
positive,"'pɒzitiv"
civil,"'sivәl"
kitchen,"'kitʃin"
consumer,"kәn'sju:mә"
shot,ʃɒt
budget,"'bʌdʒit"
wish,wiʃ
painting,"'peintiŋ"
scientist,"'saiәntist"
safe,seif
agreement,"ә'gri:mәnt"
mouth,mauθ
capital,"'kæpitәl"
nor,nɒ:
victim,"'viktim"
newspaper,"'nju:z.peipә"
threat,θret
responsibility,"ri.spɒnsә'biliti"
smile,smail
attorney,"ә'tә:ni"
score,skɒ:
account,"ә'kaunt"
interesting,"'intristiŋ"
audience,"'ɒ:diәns"
rich,ri:tʃ
dinner,"'dinә"
vote,vәut
western,"'westәn"
relate,"ri'leit"
travel,"'trævl"
debate,"di'beit"
prevent,"pri'vent"
citizen,"'sitizn"
majority,"mә'dʒɒriti"
none,nʌn
front,frʌnt
born,bɒ:n
admit,"әd'mit"
senior,"'si:njә"
assume,"ә'sju:m"
wind,wind
key,ki:
professional,"prә'feʃәnl"
mission,"'miʃәn"
fast,fɑ:st
alone,"ә'lәun"
customer,"'kʌstәmә"
suffer,"'sʌfә"
speech,spi:tʃ
successful,"sәk'sesful"
option,"'ɒpʃәn"
participant,"pɑ:'tisipәnt"
southern,"'sʌðәn"
eventually,"i'ventʃuәli"
university,".ju:ni'vә:siti"
fresh,freʃ
forest,"'fɒrist"
video,"'vidiәu"
global,"'glәubl"
senate,"'senit"
reform,"ri'fɒ:m"
access,"'ækses"
restaurant,"'restәrɒŋ"
judge,dʒʌdʒ
publish,"'pʌbliʃ"
relation,"ri'leiʃәn"
release,"ri'li:s"
bird,bә:d
labor,"'leibә"
opinion,"ә'pinjәn"
credit,"'kredit"
critical,"'kritikәl"
corner,"'kɒ:nә"
concerned,"kәn'sә:nd"
recall,"ri'kɒ:l"
version,"'vә:ʒәn"
stare,stєә
safety,"'seifti"
effective,"i'fektiv"
neighborhood,"'neibәhud"
original,"ә'ridʒәnl"
troop,tru:p
income,"'inkʌm"
directly,"di'rektli, dai'rektli"
hurt,hә:t
species,"'spi:ʃiz"
immediately,"i'mi:diәtli"
track,træk
basic,"'beisik"
ms,miz
strike,straik
sky,skai
freedom,"'fri:dәm"
absolutely,"'æbsәlu:tli"
plane,plein
nobody,"'nәubɒdi"
achieve,"ә'tʃi:v"
object,"'ɒbdʒekt"
nine,nain
attitude,"'ætitju:d"
refer,"ri'fә:"
client,"'klaiәnt"
concept,"'kɒnsept"
powerful,"'pauәful"
perfect,"'pә:fikt"
therefore,"'ðєәfɒ:"
conduct,"'kɔndʌkt, -dәkt"
announce,"ә'nauns"
conversation,".kɒnvә'seiʃәn"
examine,"ig'zæmin"
touch,tʌtʃ
please,pli:z
attend,"ә'tend"
completely,"kәm'pli:tli"
variety,"vә'raiәti"
sleep,sli:p
involved,"in'vɔlvd"
investigation,"in.vesti'geiʃәn"
nuclear,"'nju:kliә"
researcher,"ri:'sә:tʃә"
press,pres
conflict,"'kɒnflikt"
spirit,"'spirit"
replace,"ri'pleis"
british,"'britiʃ"
encourage,"in'kʌridʒ"
argument,"'ɑ:gjumәnt"
camp,kæmp
brain,brein
feature,"'fi:tʃә"
afternoon,"'ɑ:ftә'nu:n"
am,æm
weekend,"'wi:kend"
dozen,"'dʌzn"
possibility,".pɒsә'biliti"
insurance,"in'ʃurәns"
department,"di'pɑ:tmәnt"
battle,"'bætl"
beginning,"bi'giniŋ"
date,deit
generally,"'dʒenәrәli"
african,"'æfrikәn"
sorry,"'sɒri"
crisis,"'kraisis"
complete,"kәm'pli:t"
fan,fæn
stick,stik
define,"di'fain"
easily,"'i:zili"
hole,hәul
element,"'elimәnt"
status,"'steitәs"
vision,"'viʒәn"
normal,"'nɒ:ml"
chinese,"tʃai'ni:z"
ship,ʃip
stone,stәun
solution,"sә'lu:ʃәn"
slowly,"'slәuli"
scale,skeil
introduce,".intrә'dju:s"
driver,"'draivә"
attempt,"ә'tempt"
spot,spɒt
lack,læk
ice,ais
boat,bәut
christmas,"'krismәs"
drink,driŋk
sun,sʌn
distance,"'distәns"
wood,wud
truck,trʌk
handle,hændl
mountain,"'mauntin"
survey,"sә'vei"
supposed,"sә'pәuzd"
tradition,"trә'diʃәn"
winter,"'wintә"
village,"'vilidʒ"
soviet,"'sәuviәt"
refuse,"ri'fju:z"
roll,rәul
communication,"kә.mju:ni'keiʃәn"
screen,skri:n
gain,gein
resident,"'rezidәnt"
hide,haid
gold,gәuld
club,klʌb
farm,fɑ:m
potential,"pә'tenʃәl"
european,".juәrә'pi:әn"
presence,"'prezns"
independent,".indi'pendәnt"
district,"'distrikt"
shape,ʃeip
reader,"'ri:dә"
contract,"'kɒntrækt"
crowd,kraud
christian,"'kristʃәn"
express,"ik'spres"
apartment,"ә'pɑ:tmәnt"
willing,"'wiliŋ"
strength,streŋθ
previous,"'pri:viәs"
band,bænd
obviously,"'ɔbviәsli"
horse,hɒ:s
interested,"'intristid"
target,"'tɑ:git"
prison,"'prizn"
ride,raid
guard,gɑ:d
reporter,"ri'pɒ:tә"
demand,"di'mɑ:nd"
deliver,"di'livә"
text,tekst
tool,tu:l
wild,waild
vehicle,"'vi:ikl"
observe,"әb'zә:v"
flight,flait
facility,"fә'siliti"
understanding,".ʌndә'stændiŋ"
average,"'ævәridʒ"
emerge,"i'mә:dʒ"
advantage,"әd'vɑ:ntidʒ"
quick,kwik
leadership,"'li:dәʃip"
earn,ә:n
pound,paund
basis,"'beisis"
bright,brait
operate,"'ɒpәreit"
guest,gest
sample,"'sæmpl"
contribute,"kәn'tribju:t"
tiny,"'taini"
block,blɒk
protection,"prә'tekʃәn"
settle,"'setl"
feed,fi:d
collect,"kә'lekt"
additional,"ә'diʃәnәl"
highly,"'haili"
identity,"ai'dentiti"
title,"'taitl"
mostly,"'mәustli"
lesson,"'lesn"
faith,feiθ
river,"'rivә"
photo,"'fәutәu"
promote,"prәu'mәut"
living,"'liviŋ"
count,kaunt
unless,".ʌn'les"
marry,"'mæri"
tomorrow,"tә'mɒ:rәu"
technique,"tek'ni:k"
path,pɑ:θ
ear,iә
shop,ʃɒp
folk,fәuk
principle,"'prinsipl"
survive,"sә'vaiv"
lift,lift
border,"'bɒ:dә"
competition,".kɒmpi'tiʃәn"
jump,dʒʌmp
gather,"'gæðә"
limit,"'limit"
fit,fit
cry,krai
equipment,"i'kwipmәnt"
worth,wә:θ
associate,"ә'sәuʃieit"
critic,"'kritik"
warm,wɒ:m
aspect,"'æspekt"
insist,"in'sist"
failure,"'feiljә"
annual,"'ænjuәl"
french,frentʃ
comment,"'kɒment"
affair,"ә'fєә"
responsible,"ri'spɒnsәbl"
procedure,"prә'si:dʒә"
regular,"'regjulә"
spread,spred
chairman,"'tʃєәmәn"
baseball,"'beisbɒ:l"
soft,sɒft
ignore,"ig'nɒ:"
egg,eg
belief,"bi'li:f"
demonstrate,"'demәnstreit"
anybody,"'enibɒdi"
murder,"'mә:dә"
gift,gift
religion,"ri'lidʒәn"
review,"ri'vju:"
editor,"'editә"
engage,"in'geidʒ"
coffee,"'kɒfi"
document,"'dɒkjumәnt"
speed,spi:d
cross,krɒs
influence,"'influәns"
anyway,"'eniwei"
commit,"kә'mit"
threaten,"'θretn"
female,"'fi:meil"
youth,ju:θ
wave,weiv
afraid,"ә'freid"
quarter,"'kwɒ:tә"
background,"'bækgraund"
native,"'neitiv"
broad,brɒ:d
wonderful,"'wʌndәful"
deny,"di'nai"
apparently,"ә'pærәntli"
slightly,"'slaitli"
reaction,"ri'ækʃәn"
twice,twais
suit,sju:t. su:t
perspective,"pә'spektiv"
growing,"'grәuiŋ"
blow,blәu
construction,"kәn'strʌkʃәn"
intelligence,"in'telidʒәns"
destroy,"di'strɒi"
cook,kuk
connection,"kә'nekʃәn"
burn,bә:n
shoe,ʃu:
neighbor,"'neibә"
grade,greid
context,"'kɒntekst"
committee,"kә'miti"
hey,hei
mistake,"mis'teik"
location,"lәu'keiʃәn"
clothes,klәuðz
quiet,"'kwaiәt"
indian,"'indiәn"
dress,dres
promise,"'prɒmis"
aware,"ә'wєә"
function,"'fʌŋkʃәn"
bone,bәun
active,"'æktiv"
extend,"ik'stend"
chief,tʃi:f
combine,"kәm'bain"
wine,wain
below,"bi'lәu"
cool,ku:l
voter,"'vәutә"
bus,bʌs
learning,"'lә:niŋ"
hell,hel
dangerous,"'deindʒәrәs"
remind,"ri'maind"
moral,"'mɒrәl"
united,"ju:'naitid"
category,"'kætigәri"
relatively,"'relәtivli"
victory,"'viktәri"
academic,".ækә'demik"
internet,"'intәnet"
healthy,"'helθi"
negative,"'negәtiv"
following,"'fɒlәuiŋ"
historical,"hi'stɒrikәl"
medicine,"'medisin"
tour,tuә
depend,"di'pend"
finding,"'faindiŋ"
grab,græb
direct,"di'rekt"
classroom,"'klɑ:sru:m"
contact,"'kɒntækt"
justice,"'dʒʌstis"
photograph,"'fәutәgrɑ:f"
participate,"pɑ:'tisipeit"
daily,"'deili"
fair,fєә
pair,pєә
famous,"'feimәs"
exercise,"'eksәsaiz"
knee,ni:
flower,"'flauә"
tape,teip
hire,haiә
familiar,"fә'miljә"
appropriate,"ә'prәupriәt"
supply,"sә'plai"
fully,"'fuli"
actor,"'æktә"
birth,bә:θ
search,sә:tʃ
tie,tai
democracy,"di'mɒkrәsi"
eastern,"'i:stәn"
primary,"'praimәri"
yesterday,"'jestәdi"
circle,"'sә:kl"
device,"di'vais"
